,client_identifier,email,bitcoin_address,credit_card_type
0,36,dbuckthorpz@tmall.com,15X53Z9B9jUNrvFpbr7D554uSc5RL7Pnkg,diners-club-international
1,62,bbarham1p@wisc.edu,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb
2,105,linfante2w@telegraph.co.uk,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb
3,108,rpartkya2z@cdc.gov,1RcsodKknm8thkCL6F4Vcmo7f4A7r6ydj,maestro
4,109,mdory30@uiuc.edu,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb
5,110,rswindle31@tmall.com,15cRJ4mzZd4Vgd33xbVjEtYw9c6f1WfGkC,china-unionpay
6,124,wdarco3f@geocities.com,1CB7AdhTFBXmxuABm58yKmCmsvVqDjT9P1,maestro
7,128,vnapthine3j@ning.com,16DbYq1KR8DVSQu5E9WU9ohuofBm5AHB2Q,diners-club-enroute
8,165,hheinecke4k@altervista.org,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb
9,189,etsar58@ovh.net,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb
10,194,igreated5d@live.com,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb
11,239,hgolley6m@nydailynews.com,19KrAve717pGFqYLiQvw63yV3Ar6XabJhD,mastercard
12,248,mbrewer6v@facebook.com,16WS73NGVmHfpuWqPkEjN9pirzG9qkgvPJ,americanexpress
13,255,jknowler72@nba.com,1JtjCw3Nj42ZPgeFkgFJAPcVCyvt4sMLPh,jcb
14,293,lropartz84@meetup.com,1PJgSoTde2rSpfYRYpied1y35KVke7kvXo,jcb
15,296,hmcpake87@bravesites.com,1A3rYCZeBfy1V1W3ypcfVdZm6TCU3TFkLv,jcb
16,299,cantunez8a@booking.com,1C74dmFYGZiSzsZH6Lw41bWCu8U3mTvcth,diners-club-carte-blanche
17,326,calred91@ted.com,16tRkPChNu4RTqJ7tkZa52os2HZvh2hjif,americanexpress
18,354,wochterlonie9t@ebay.com,16Q23WzZFnnADqSq9z2oRDJZE7SJ2bFHrS,diners-club-carte-blanche
19,360,bdebeauchemp9z@imageshack.us,1DTzwp1kZCBx9FED2678d5g5ArrefirrXW,laser
20,367,mmaghulla6@dmoz.org,1FCv1LeZu798EhajuFMZg49zb5D7KTMZWE,mastercard
21,379,tjahnelai@bbb.org,1HZN5ZVgPqK1iVLKVMxH658kZ3pBDBcEw,jcb
22,406,jwhitbreadb9@accuweather.com,1BbeY2TE3u7ARieG5FKuSZzbLFHyBkFoQF,americanexpress
23,436,pomannionc3@yandex.ru,1xVt3FxfHQvzXPhXVp6VRSEydUUVzRWK7,laser
24,450,awarringtonch@sogou.com,15wYxjYgszjPnSwa4b3nvkdLfdBMTprQ9y,mastercard
25,462,nfitzalanct@japanpost.jp,13FaRnAGPb53jC6cw4dQF5qM8XTGRWrY6s,americanexpress
26,467,aanderercy@ameblo.jp,1HHBi9Yt592V74bU5PihuSGekNhGzNGaAw,solo
27,486,hpechdh@blogs.com,1CUeR37xJkVY9jVoAh9UYJc4c85RpnNcmD,diners-club-enroute
28,513,fcicceralee8@vk.com,18zM2XeTncgJJTm14LDhWbMeUE3nvA8NoD,jcb
29,514,meliee9@angelfire.com,191c14CjzgK9DZGE9viRPMyGDqhc2oR46F,mastercard
30,529,chardikereo@posterous.com,14TyQs6ta2MhC2erewxosQTjmrvn2P4Gzo,jcb
31,577,ccolqueteg0@jiathis.com,12EgsYruxuyrwHi6bDC9FXqzGAmuUawHKH,jcb
32,605,kcahengs@bloglines.com,1EMUu7w62n5GzRTZ4ZGTUKMwLppUyrD2Pw,visa
33,616,dgwilth3@mapquest.com,1H168tEGqoEeeNDaWmNjyEiubqTz3ZdoKG,jcb
34,621,mhainsh8@parallels.com,1MdkbruxnQR61UYstTpKsoqP3fUziVQwei,switch
35,628,ccasseldinehf@kickstarter.com,14EWQTXkWhfiQKkKn5JuD5h3EqzLatXbsQ,jcb
36,643,penglishhu@google.com.hk,1BqmYwtSwbG8qWUJyqn8TQPB4pWXAx3jMa,jcb
37,656,gshirdi7@baidu.com,1PUPePBi6wUMGZomfTqcXojjwYQk7Ha2cu,mastercard
38,691,bkidstounj6@senate.gov,1BMrJy7Ac4pAyq8ciBFfGhATAgcHXaPb6P,jcb
39,701,nwhittersjg@networkadvertising.org,1Jb4hNfMJy5g4hPtT8kQQ4bbhGdwTbnmjp,jcb
40,711,cguesfordjq@blogs.com,1HsSjH6FpNqbFRckMitfzzPMvXiKHDDL3p,jcb
41,726,sbarltropk5@cargocollective.com,13LecqUHZxxptc47RXRDcvhDgQHwxqTKVV,solo
42,749,mbellenyks@salon.com,17qnQP62quZFAzU7QXFpHjMugPcFyoMXHm,bankcard
43,751,callibandku@scribd.com,16pUgN3CTqFCLB2pmBSUjoxyZEreQu4AvB,jcb
44,755,krangerky@apple.com,13MLLGGZBp6y24hg13bFA8org9qwwup2fK,americanexpress
45,760,sbathaml3@twitter.com,1PapZUVtXEaqD14JtSUhhZcPWR61aNK9kS,jcb
46,774,parrighettilh@sogou.com,1Myco7rqZBPkR5XdyfqkPot9aPPvJvFZS9,switch
47,785,mdenajerals@sourceforge.net,12N2XC2Mxzu6eLd2CTQkS8NKtdYTXvr2kS,switch
48,798,jhugninm5@ocn.ne.jp,15tgDNJrxLs78sVijcBeCriRURp24JDqB9,jcb
49,812,pshortenmj@vimeo.com,1Mr6usqpuYeS431Vzycq8GpwuMCipdP3mw,jcb
50,837,ydowningn8@fastcompany.com,1E7ZJuTeuSG8Sj4ocNWMymJLERfD1qDYA7,jcb
51,845,omockettng@redcross.org,18UeESWffKqdqg23yfZfZcYAkPVT6cmuD6,laser
52,862,pmazellanx@cocolog-nifty.com,1GcWp25A1odq7XCoG6HyiCJ2UYDREWrgVP,solo
53,873,lmcgillivrieo8@columbia.edu,1N75fjtmFdQJmMpacg4oUdt7cWYJXpdKD1,china-unionpay
54,881,pfenechog@de.vu,16y7pXoKxg3WrBumhLPq3JoTjhCNtCgEMq,solo
55,894,mcicconeot@mac.com,1HTBF19dSGssNoC8VWcv3BWbBpi7jYvEZd,switch
56,914,qwellesleypd@forbes.com,16FJCTiriaZCgyfnWCiJnua1Bka3aBjgrt,jcb
57,942,dcrepinq5@wisc.edu,1JK5tVtebu1Dd2gAXcTaS1UCB5BMGijuqa,jcb
58,954,rizkovitzqh@thetimes.co.uk,1MQGXo6xCKnPkRfTyjUyrQ2b4DtxxgoKyG,jcb
59,964,atartqr@miitbeian.gov.cn,1HWtSdZgMPTEdzHTAhmnAcFHf3MTasz7zE,diners-club-carte-blanche
60,981,gschurcker8@army.mil,19158kwDCddVMpQPUKdLz33yfks1cKbKPE,diners-club-carte-blanche
61,984,btodeorb@discuz.net,1LCEj6JuVMjBt6wstfNCofLwWgsgm99NMZ,visa-electron
